Date,Open,High,Low,Close,Adj Close,Volume
2/4/16,167.199997,169.399994,141.600006,41.82,167.279999,11900
2/5/16,173.479996,194.507996,168.800003,45.860001,183.440002,10000
2/8/16,190.279999,216,190.279999,50.900002,203.600006,49400
2/9/16,211.479996,249.440002,211.123993,58.266998,233.067993,7800
2/10/16,235.283997,256.040009,212,60.709999,242.839996,6600
2/11/16,255,286,249.287994,63.292999,253.171997,12500
2/12/16,232,260.679993,220,59.398998,237.595993,6800
2/16/16,220.720001,262.85199,220.720001,61.661999,246.647995,4900
2/17/16,246.639999,250.992004,188,47.830002,191.320007,8200
2/18/16,187.279999,231.955994,181.444,57.830002,231.320007,7600
2/19/16,242.880005,267.799988,242.880005,61.700001,246.800003,12200
2/22/16,216.007996,225.367996,204.720001,52.52,210.080002,7700
2/23/16,220.839996,263.519989,220.839996,65.879997,263.519989,8900
2/24/16,276.079987,279.480011,224.800003,57.049999,228.199997,11000
2/25/16,225.440002,259.119995,218.800003,59.700001,238.800003,7800
2/26/16,220,233.919998,210.720001,55.119999,220.479996,9100
2/29/16,220,234.360001,217.479996,56.710999,226.843994,4300
3/1/16,220.559998,250.119995,209.919998,53.66,214.639999,4400
3/2/16,230.759995,230.759995,157.639999,39.630001,158.520004,25200
3/3/16,161.960007,161.960007,118.800003,30.459999,121.839996,51700
3/4/16,109.760002,120.68,88.080002,24.549999,98.199997,86500
3/7/16,93.879997,94.559998,64.400002,16.43,65.720001,279800
3/8/16,68,92,66.400002,22.870001,91.480003,210800
3/9/16,74.559998,85.160004,69.720001,19.370001,77.480003,138600
3/10/16,79.199997,87.056,77.239998,20.32,81.279999,149100
3/11/16,76,76,67,17.93,71.720001,103300
3/14/16,79.160004,81.480003,72.400002,19.32,77.279999,107000
3/15/16,79.040001,86,79.040001,19.82,79.279999,69500
3/16/16,76.120003,76.199997,68.040001,17.115,68.459999,91500
3/17/16,64.599998,68.199997,62.416,16.940001,67.760002,52400
3/18/16,64.639999,75.800003,62.400002,18.950001,75.800003,80200
3/21/16,75.879997,82,73.879997,19.450001,77.800003,55600
3/22/16,78.879997,80.435997,75.32,19.5,78,31800
3/23/16,80.959999,88.919998,79.199997,21.99,87.959999,49100
3/24/16,96.400002,97.440002,84.080002,21.610001,86.440002,48200
3/28/16,84.959999,93.32,84.199997,22.049999,88.199997,24500
3/29/16,93.239998,94.835999,84.440002,21.299999,85.199997,31900
3/30/16,81.360001,86.040001,78.639999,20.91,83.639999,30800
3/31/16,84.160004,85.68,79,20.049999,80.199997,23300
4/1/16,86.519997,87.199997,83.019997,20.809999,83.239998,35000
4/4/16,83.199997,88,79.199997,21.85,87.400002,19500
4/5/16,89.959999,91,86.400002,22.08,88.32,15600
4/6/16,84.639999,88.440002,79.120003,20.18,80.720001,24000
4/7/16,83.32,83.760002,79.608002,19.93,79.720001,11500
4/8/16,74.919998,75.599998,70.699997,17.98,71.919998,30100
4/11/16,69.239998,71.879997,68.199997,17.73,70.919998,16500
4/12/16,69.68,70,57.200001,14.84,59.360001,93500
4/13/16,60.759998,62.68,58.279999,15.29,61.16,48600
4/14/16,59.400002,62.84,59.400002,15.01,60.040001,35800
4/15/16,63.560001,63.919998,60.495998,15.63,62.52,40800
4/18/16,68.040001,69.68,57.400002,14.71,58.84,64100
4/19/16,57,57.240002,52.279999,13.42,53.68,58500
4/20/16,55.919998,56.080002,50.400002,12.929,51.716,59600
4/21/16,50.880001,54.200001,50.200001,13.28,53.119999,32200
4/22/16,51.360001,51.84,48,12.04,48.16,57600
4/25/16,49.119999,52.312,48.799999,12.84,51.360001,40800
4/26/16,49.919998,50.411999,46.200001,11.63,46.52,46400
4/27/16,44.84,45.16,41.599998,10.59,42.360001,98400
4/28/16,43.919998,45.799999,41.48,11.4,45.599998,41200
4/29/16,43.52,48.292,42.32,11.28,45.119999,51400
5/2/16,45.200001,48.16,45.040001,11.5,46,23000
5/3/16,47.84,52.228001,47.799999,12.85,51.400002,71800
5/4/16,50.880001,55.799999,48.040001,13.43,53.720001,46500
5/5/16,50,53.096001,47.599998,12.74,50.959999,26000
5/6/16,52.720001,52.720001,49.080002,13.08,52.32,19900
5/9/16,54.040001,57,53.119999,13.71,54.84,35700
5/10/16,53.16,53.712002,49.799999,12.46,49.84,16500
5/11/16,50.400002,52.411999,46.400002,12.07,48.279999,33300
5/12/16,46.560001,48.919998,43.959999,11.92,47.68,22900
5/13/16,49.080002,49.799999,46.639999,12.401,49.604,31400
5/16/16,47.360001,47.360001,44.848,11.75,47,36300
5/17/16,47,47.807999,44.52,11.3,45.200001,29400
5/18/16,46,48,44.040001,11.86,47.439999,20800
5/19/16,49.119999,51.599998,46.759998,11.79,47.16,41900
5/20/16,47.599998,48.152,45.400002,11.48,45.919998,12900
5/23/16,48.200001,48.200001,44.880001,11.42,45.68,25600
5/24/16,44.84,46.959999,44.040001,11.31,45.240002,51900
5/25/16,43.799999,44,41.279999,10.41,41.639999,52400
5/26/16,40.400002,42.400002,39.720001,10.55,42.200001,42500
5/27/16,42.919998,43.799999,42.200001,10.61,42.439999,27300
5/31/16,42.919998,42.919998,39.919998,10.57,42.279999,31600
6/1/16,42.599998,43.919998,41.48,10.37,41.48,23000
6/2/16,42.400002,43.799999,41.119999,10.28,41.119999,32800
6/3/16,40.880001,43,40.200001,10.53,42.119999,25800
6/6/16,40.080002,41.099998,38.599998,9.71,38.84,37500
6/7/16,37.959999,38.155998,35.119999,8.89,35.560001,61100
6/8/16,34.200001,36.759998,33.799999,9.19,36.759998,29400
6/9/16,38.200001,38.400002,36.279999,9.22,36.880001,8600
6/10/16,38.560001,41.68,38,10.35,41.400002,46900
6/13/16,42.639999,43.48,39.84,10.43,41.720001,28500
6/14/16,42.400002,44.040001,40.52,10.35,41.400002,44400
6/15/16,41.959999,43.16,39.599998,10.39,41.560001,17600
6/16/16,43.400002,46.700001,43.400002,11.02,44.080002,25900
6/17/16,42,42,40.439999,10.33,41.32,15900
6/20/16,40.400002,40.400002,38.32,9.78,39.119999,16800
6/21/16,40.599998,40.599998,36.799999,9.27,37.080002,19600
6/22/16,37.32,39,36.764,9.55,38.200001,30900
6/23/16,37.400002,37.720001,36.040001,9.1,36.400002,10100
6/24/16,40.400002,42,39.448002,10.43,41.720001,44200
6/27/16,42.68,47.799999,42.68,11.67,46.68,81200
6/28/16,42.439999,43.084,39.759998,9.94,39.759998,23500
6/29/16,39.799999,39.799999,37.248001,9.55,38.200001,24400
6/30/16,38.360001,40.040001,37.880001,9.67,38.68,23500
7/1/16,39.48,39.48,36.200001,9.21,36.84,12700
7/5/16,39.799999,42.439999,39.34,10.15,40.599998,60700
7/6/16,41,41.632,38.959999,9.77,39.080002,15000
7/7/16,38,41.439999,36.240002,10.1,40.400002,18900
7/8/16,38.68,40.251999,37.52,9.55,38.200001,14300
7/11/16,37.400002,38.68,36.599998,9.67,38.68,8600
7/12/16,36.439999,36.560001,32.639999,8.51,34.040001,88000
7/13/16,35.040001,36.98,33.652,8.93,35.720001,78900
7/14/16,34.880001,35.959999,33.852001,8.89,35.560001,12700
7/15/16,35.84,36.279999,34.68,8.91,35.639999,8600
7/18/16,37.200001,37.200001,35.439999,8.89,35.560001,7600
7/19/16,36.231998,37,35.799999,9.12,36.48,51500
7/20/16,37.639999,39,35.599998,9.09,36.360001,17900
7/21/16,36.040001,37.667999,34.200001,9.34,37.360001,18800
7/22/16,37.040001,37.799999,36.240002,9.22,36.880001,41300
7/25/16,38.200001,40.400002,38.040001,9.94,39.759998,38000
7/26/16,40.639999,40.672001,38.243999,9.57,38.279999,18600
7/27/16,38.52,41.200001,36.444,10.139,40.556,21000
7/28/16,39.959999,40.799999,38.959999,9.94,39.759998,12300
7/29/16,41.240002,41.240002,36.84,9.23,36.919998,15000
8/1/16,38.720001,42.119999,38.52,10.44,41.759998,49300
8/2/16,40.040001,43.119999,39.52,10.1,40.400002,25900
8/3/16,40.439999,40.919998,36.223999,9.06,36.240002,34000
8/4/16,37,37.119999,34.307999,9.07,36.279999,23400
8/5/16,36.48,37.5,35.439999,8.92,35.68,13900
8/8/16,34.560001,34.919998,32.119999,8.47,33.880001,45700
8/9/16,33.560001,35.279999,33.400002,8.67,34.68,18200
8/10/16,34.639999,35.759998,33.48,8.899,35.596001,23700
8/11/16,35.080002,35.240002,32.02,8.196,32.784,51200
8/12/16,32.759998,32.759998,31.24,7.96,31.84,62900
8/15/16,31.48,31.48,30.24,7.69,30.76,35000
8/16/16,30.76,32.040001,30.440001,7.71,30.84,54300
8/17/16,31.48,32.240002,30.799999,7.78,31.120001,66200
8/18/16,30.440001,30.559999,28.200001,7.05,28.200001,63500
8/19/16,29.120001,29.360001,28.431999,7.19,28.76,44100
8/22/16,29.879999,30.719999,29.32,7.42,29.68,41800
8/23/16,30.76,30.76,27.84,7.06,28.24,29000
8/24/16,29.68,29.68,28.08,7.33,29.32,38900
8/25/16,29,29.809999,28.733999,29.290001,29.290001,35300
8/26/16,28.629,29.798,27.73,29.190001,29.190001,27500
8/29/16,29.646999,29.646999,28.5,28.52,28.52,7200
8/30/16,28.27,29.25,27.440001,28.92,28.92,23600
8/31/16,29.190001,31.25,29.190001,30.74,30.74,81000
9/1/16,31.139999,31.540001,30.356001,30.59,30.59,18300
9/2/16,30,30,28.379999,28.91,28.91,32500
9/6/16,28.77,28.77,27.549999,27.549999,27.549999,30500
9/7/16,27.370001,27.517,26.459999,27.065001,27.065001,42100
9/8/16,26.309999,26.634001,24.9,25.049999,25.049999,62100
9/9/16,25.799999,27.450001,25.6,27.42,27.42,82900
9/12/16,28.77,28.77,26.74,26.83,26.83,65700
9/13/16,27.99,30.48,27.92,30.24,30.24,70400
9/14/16,30.85,32.112999,28.870001,31.9,31.9,63900
9/15/16,31.82,31.82,29.98,30.9,30.9,19200
9/16/16,31.360001,32.619999,31.34,31.450001,31.450001,43000
9/19/16,30.51,31.58,28.014999,31.5,31.5,9900
9/20/16,31.9,32.57,30.950001,32.419998,32.419998,17300
9/21/16,30.860001,31.219999,29,29.08,29.08,18300
9/22/16,28.01,29.17,27.370001,28.540001,28.540001,17600
